Id	Score	ViewCount	Tags	CreationDate
41461595	53	2458	<c#><.net><generics>	04/01/2017 10:29
42287737	96	5296	<c#><.net><asynchronous><async-await>	17/02/2017 01:20
41632387	109	7107	<c#>	13/01/2017 10:27
42679712	61	3745	<unicode><emoji><codepoint>	08/03/2017 19:00
42939454	261	46707	<.net><.net-core><class-library><.net-standard>	21/03/2017 22:34
42942952	68	8663	<java><android><design-patterns><coding-style><try-catch>	22/03/2017 04:47
43003012	162	86163	<java><macos><intellij-idea>	24/03/2017 15:10
43007761	69	28633	<nunit><visual-studio-2017><vstest>	24/03/2017 19:34
43338084	80	12418	<c><pointers><initialization>	11/04/2017 06:15
42553039	144	6818	<c#><.net><visual-studio><.net-core>	02/03/2017 10:37
42554337	66	32466	<qt><android-studio><avd>	02/03/2017 11:33
42717688	55	13931	<visual-studio><visual-studio-2017>	10/03/2017 11:47
42861930	94	44459	<c#><visual-studio><unit-testing><visual-studio-2017>	17/03/2017 15:52
47352663	76	4655	<c++><language-lawyer><sizeof>	17/11/2017 14:14
47387519	51	4226	<c#><primitive-types>	20/11/2017 08:09
47531139	54	5221	<c++><endianness><language-features><static-typing>	28/11/2017 12:02
44129275	52	8184	<c++><operator-overloading>	23/05/2017 08:11
48323493	83	4232	<python><python-3.x>	18/01/2018 14:23
45912510	359	17785	<java><jvm><jit><jvm-hotspot>	28/08/2017 05:55
41736767	56	3457	<java><java-8>	19/01/2017 08:08
43303090	53	2826	<c++><gcc><assembly><x86-64>	09/04/2017 04:36
41984399	73	40824	<docker><dockerfile>	01/02/2017 16:08
42355194	153	15687	<python><performance><python-3.x><python-3.5><python-internals>	20/02/2017 22:15
42613882	140	97185	<cordova><ionic-framework><android-gradle>	05/03/2017 20:56
42690073	75	6650	<c#><.net><type-conversion>	09/03/2017 08:18
42696948	113	52991	<msbuild><visual-studio-2017><build-tools><build-server>	09/03/2017 13:41
41519481	107	42523	<angular><angular2-material>	07/01/2017 08:34
43470741	54	3423	<c++><c++11><templates><c++14><typetraits>	18/04/2017 11:20
44579839	56	1771	<ios><camera><scenekit><projection><arkit>	16/06/2017 02:25
44178432	60	3148	<java><java-9>	25/05/2017 10:38
44183771	109	12307	<c++><if-statement>	25/05/2017 15:03
41535881	52	50479	<python><macos><anaconda><conda>	08/01/2017 17:56
43920942	82	33015	<c#><node.js><performance><asp.net-core><stress-testing>	11/05/2017 16:24
41836658	80	4334	<c++><c>	24/01/2017 18:46
42019939	69	4962	<c++><c++11>	03/02/2017 08:34
44473146	60	14689	<ios><objective-c><xcode><ios11><xcode9-beta>	10/06/2017 12:07
44489658	93	4981	<python><python-3.x><set><equivalence-classes>	11/06/2017 23:29
44492404	74	48080	<ios><swift><ios11><xcode9><safearealayoutguide>	12/06/2017 06:06
45052282	66	3291	<c><gcc><clang><x86-64><compiler-optimization>	12/07/2017 08:25
45069219	94	4312	<c++><c++11><random>	12/07/2017 23:44
42107442	86	6429	<python><python-internals>	08/02/2017 07:48
42133894	52	20878	<javascript><vue.js><vue-component><vue-resource>	09/02/2017 10:16
42159460	129	6762	<c><gcc><optimization><clang>	10/02/2017 12:30
43119163	66	30344	<javascript><promise>	30/03/2017 13:22
44071080	98	56109	<android><android-studio><gradle><build><circleci>	19/05/2017 13:13
44382841	241	57201	<ios><xcode><debugging><ios11><xcode9>	06/06/2017 06:31
44396681	60	9125	<xcode><git><macos><version-control><xcode9-beta>	06/06/2017 17:53
44399109	69	25915	<ios><cocoapods><facebook-login><xcode9-beta><swift4>	06/06/2017 20:18
44429415	79	19170	<storyboard><xcode9-beta>	08/06/2017 07:34
44793859	79	25289	<angular><typescript><rxjs>	28/06/2017 04:47
44902651	64	8807	<android><casting><findviewbyid>	04/07/2017 09:52
45646101	55	15022	<twitter-bootstrap><angular><webpack><popper.js>	12/08/2017 03:05
48089426	134	21631	<security><assembly><x86><cpu-architecture>	04/01/2018 05:52
43556752	54	3405	<javascript><exponentiation><ecmascript-2016>	22/04/2017 07:54
43618487	444	23575	<swift><string><unicode><emoji>	25/04/2017 18:36
45204480	146	10654	<if-statement><language-agnostic><condition><boolean-logic>	20/07/2017 03:16
46380073	71	3678	<java><deprecated><observer-pattern><java-9>	23/09/2017 13:27
46419476	60	9118	<macos><mysql-workbench><macos-high-sierra>	26/09/2017 06:44
46512888	93	4781	<java><string><string-concatenation><java-9><invokedynamic>	01/10/2017 13:34
46522451	52	4036	<c><gcc><assembly><x86><compiler-optimization>	02/10/2017 08:58
47086406	86	2950	<c><struct><reverse-engineering><declaration>	02/11/2017 23:52
47152691	69	1495	<python><pandas><group-by><pivot><pandas-groupby>	07/11/2017 08:00
45469214	83	4074	<c++><integer><function-overloading><negative-number><ambiguous-call>	02/08/2017 19:14
45689664	67	9385	<ios><objective-c><nsnotificationcenter>	15/08/2017 08:59
46653406	120	5859	<c><sizeof>	09/10/2017 19:09
46670430	66	5239	<javascript><angular><typescript><angular-cli><angular-compiler-cli>	10/10/2017 15:22
46763282	73	2102	<java><java-time>	16/10/2017 05:05
42648499	113	33624	<android><android-studio><apk><signature><signing>	07/03/2017 12:36
41573587	134	23392	<python><virtualenv><virtualenvwrapper><pyenv><python-venv>	10/01/2017 16:27
41727415	204	12630	<c><switch-statement><language-lawyer>	18/01/2017 19:02
41803937	55	3763	<c><c99>	23/01/2017 10:18
43359734	97	12075	<javascript><conditional-operator>	12/04/2017 03:27
43027980	58	31844	<python><matplotlib>	26/03/2017 11:11
43043246	52	3197	<c><enums><type-safety>	27/03/2017 09:54
43390869	97	5403	<python><interpreter><python-internals>	13/04/2017 11:20
42532550	87	7385	<c++><stl><stdset>	01/03/2017 13:04
43911369	52	5893	<java><dictionary><java-8><hashmap>	11/05/2017 09:21
45783699	74	2699	<sql>	18/08/2017 04:47
43099116	67	28339	<docker><jenkins><jenkins-pipeline>	29/03/2017 16:26
46192280	112	43044	<ios><objective-c><iphone><swift><iphone-x>	13/09/2017 08:12
46267621	118	90902	<android><dex><android-studio-3.0>	17/09/2017 18:42
47591915	78	3919	<c#><.net><.net-core><coreclr>	01/12/2017 10:57
47665475	66	2774	<macos><android-studio><adb>	06/12/2017 01:39
42251267	68	1100	<android><android-source><alsa><android-kernel><android-rom>	15/02/2017 13:52
41584581	87	8426	<algorithm><sorting><time-complexity>	11/01/2017 06:58
41932668	74	6908	<java><stack-overflow>	30/01/2017 09:37
42340649	64	18387	<angular-material2>	20/02/2017 09:22
44206433	83	37509	<gradle><android-studio-3.0>	26/05/2017 16:42
43467095	61	3205	<c++><lambda><const><language-lawyer>	18/04/2017 08:19
